eight ball	1/8 ounce of cocaine
ab	Aryan brotherhood
abe's cabe	$5 bill
abk	any body killa
abolic	veterinary steroids
ac/dc	codeine cough syrup
Acapulco gold	marijuana from sw mexico
Acapulco red	marijuana
ace	marijuana cigarette
acid	lsd
acid cube	sugar cube containing lsd
acid freak	heavy user of lsd
acid head	user of lsd
acido	hallucinogens
ad	drug addict
adam	mdma
Adidas	black california prison gang
aeon flux	lysergic acid diethylamide (lsd)
affa	angels forever, forever angels
Afghani indica	marijuana
afnf	all family no friends
African black	marijuana
African bush	marijuana
African woodbine	marijuana cigarette
agonies	withdrawal symptoms
ah-pen-yen	opium
aimes	amyl nitrite
aimies	amphetamine
aip	heroin from afghanistan, iran, pakistan
air blast	inhalants
airhead	marijuana user
airplane	marijuana
al capone	heroin
Alice b toklas	marijuana brownie
all lit up	under the influence of drugs
all star	user of multiple drugs
all-american drug	cocaine
alpha-et	alpha-ethyltryptamine
ames	amyl nitrite
amidone	methadone
amoeba	pcp
amor de rey	love of king
amor y respeto'	love & respect
amp	amphetamine
amp head	lsd user
amp joint	marijuana cigarette laced with some form of narcotic
amped	high on amphetamines
amped-out	fatigue after using amphetamine
amphets	amphetamine
amping	accelerated heartbeat
amt	dimethyltryptamine
amys	amyl nitrite
anadrol	oral steroids
anatrofin	injectable steroids
anavar	oral steroids
angel	pcp
angel dust	pcp
angel hair	pcp
angel mist	pcp
angel poke	pcp
angel powder	cocaine
angie	cocaine
angola	marijuana
animal	lsd
animal trank	pcp
animal tranq	pcp
animal tranquilizer	pcp
antifreeze	heroin
apache	fentanyl
apple jacks	crack cocaine
are you anywhere?	do you use marijuana?
aries	heroin
arnolds	steroids
aroma of men	isobutyl nitrite
around the turn	having gone through withdrawal period
artillery	equipment for injecting drugs
aryan brotherhood	white supremacy, white California prison gang
ashes	marijuana
aspirin	powder cocaine
assassin of youth	marijuana
astro turf	marijuana
atom bomb	marijuana mixed with heroin
atshitshi	marijuana
aunt	powder cocaine
aunt hazel	heroin
aunt mary	marijuana
aunt nora	cocaine
aunti	opium
aunti emma	opium
aurora borealis	pcp
author	doctor who writes illegal prescriptions
b	amount of marijuana to fill a matchbox
b-40	cigar laced with marijuana and dipped in malt liquor
b-bombs	amphetamines
babe	drug used for detoxification
baby	cocaine
baby	marijuana
baby bhang	marijuana
baby gangster	young member about 9 to 12 years old
baby habit	occasional use of drugs
baby t	crack cocaine
babysit	guide someone through drug experience
babysitter	marijuana
back breakers	lsd and strychnine
back dex	amphetamine
back door	residue left in a pipe
back jack	injecting opium
back to back	smoking crack after injecting heroin
backtrack	bloodflow back into a needle 
backup	to prepare a vein for injection
backwards	depressants
bad bundle	inferior quality heroin
bad go	bad reaction to a drug
bad seed	marijuana combined with peyote
badrock	crack cocaine
bag	container for drugs
bag bride	crack-smoking prostitute
bag man	person who transports money
bagging	using inhalants
baked	high on marijuana
baker	person who smokes marijuana
baker	materials needed to freebase cocaine
bale	marijuana
baller	gang member making money, high roller
balling	vaginally implanted cocaine
balloon	heroin supplier
ballot	heroin
bam	amphetamine
bamba	marijuana
bambalacha	marijuana
bambita	desoxyn or amphetamine derivative
bambs	depresants
bammies	a poor quality of marijuana
bammy	marijuana
banana split	combination of 2c-b (nexus) with other illicit substances
banano	marijuana or tobacco cigarettes laced with cocaine
bang	inhalants
bangin	short for gang banging
banging	under the influence of drugs
bank bandit pills	depressants
bar	marijuana
barb	depressants
barbies	depressants
barbs	cocaine
barnyard hay	poor quality weed
barr	codeine cough syrup
barrels	lsd
barrio	neighborhood
bars	heroin mixed with alprazolam
bart simpson	heroin
basa	crack cocaine
base	cocaine
base crazies	searching on hands and knees for cocaine or crack
base head	a person who bases
baseball	crack cocaine
based out	to have lost control over basing
bash	marijuana
basing	crack cocaine
basuco	cocaine
bathtub crank	poor quality methamphetamine
bathtub speed	methcathinone
batman	cocaine
batman	mixing cocaine and heroin
batmans	mdma
batt	iv needle
